Week End,Crude Volumes For The Week
01/09/1990,81.31
02/27/1990,88.65
01/09/1990,85.75
01/09/1990,64.96
01/16/1990,82.34
01/16/1990,91.85
02/27/1990,72.73
01/16/1990,65.24
01/23/1990,81.77
01/23/1990,92.47
01/23/1990,66.67
03/06/1990,78.92
01/30/1990,84.75
01/30/1990,86.68
01/30/1990,66.45
02/06/1990,85.03
03/06/1990,88.66
02/06/1990,81.07
02/06/1990,66.71
02/13/1990,81.83
02/13/1990,81.21
03/06/1990,72.81
02/13/1990,67.34
02/20/1990,83.26
02/20/1990,89.89
02/20/1990,70.73
03/13/1990,77.1
02/27/1990,81.9
03/13/1990,84.01
03/13/1990,74.44
03/20/1990,73.36
03/20/1990,77.44
03/20/1990,73.24
03/27/1990,81.6
03/27/1990,81.73
03/27/1990,75.92
04/03/1990,79.61
04/03/1990,80.9
04/03/1990,75.8
04/10/1990,83.09
04/10/1990,82.56
04/10/1990,70.98
04/17/1990,73.96
04/17/1990,68.28
04/17/1990,71.33
04/24/1990,55.17
04/24/1990,71.37
04/24/1990,64.85
05/01/1990,53.6
05/01/1990,65.98
05/01/1990,66.62
05/08/1990,56.83
05/08/1990,80.82
05/08/1990,59.51
05/15/1990,60.35
05/15/1990,84.91
05/15/1990,60.25
05/22/1990,58.52
05/22/1990,88.6
05/22/1990,64.73
05/29/1990,73.7
05/29/1990,82.8
05/29/1990,67.81
06/05/1990,66.2
06/05/1990,76.81
06/05/1990,71.76
06/12/1990,59.63
06/12/1990,76.92
06/12/1990,69.75
06/19/1990,64.24
06/19/1990,76.97
06/19/1990,76.26
06/26/1990,81.46
06/26/1990,71.68
06/26/1990,77.56
07/03/1990,80.96
07/03/1990,70.07
07/03/1990,76.65
07/10/1990,80.87
07/10/1990,74.82
07/10/1990,76.42
07/17/1990,74.76
07/17/1990,86.93
07/17/1990,75.57
07/24/1990,74.54
07/24/1990,88.64
07/24/1990,63.74
07/31/1990,82.31
07/31/1990,89.44
07/31/1990,65.49
08/07/1990,84.27
08/07/1990,89.28
08/07/1990,69.68
08/14/1990,82.2
08/14/1990,83.7
08/14/1990,80.41
08/21/1990,85.32
08/21/1990,84.29
08/21/1990,81.79
08/28/1990,84.74
08/28/1990,88.62
08/28/1990,84.01
09/04/1990,83.13
09/04/1990,91.09
09/04/1990,75.95
09/11/1990,82.18
09/11/1990,91.45
09/11/1990,66.37
09/18/1990,72.93
09/18/1990,91.99
09/18/1990,66.38
09/25/1990,76.28
09/25/1990,86.7
09/25/1990,66.55
10/02/1990,81.89
10/02/1990,85.4
10/02/1990,73.07
10/09/1990,80.67
10/09/1990,86.28
10/09/1990,75.85
10/16/1990,82.41
10/16/1990,85.21
10/16/1990,72.35
10/23/1990,76.26
10/23/1990,82.43
10/23/1990,74.32
10/30/1990,80.72
10/30/1990,84.83
10/30/1990,79.88
11/06/1990,82.69
11/06/1990,90.1
11/06/1990,77.94
11/13/1990,84.71
11/13/1990,88.55
11/13/1990,75.69
11/20/1990,82.15
11/20/1990,82.34
11/20/1990,69.52
11/27/1990,83.19
11/27/1990,76.15
11/27/1990,72.06
12/04/1990,81.94
12/04/1990,76.39
12/04/1990,72.33
12/11/1990,83.01
12/11/1990,74.99
12/11/1990,68.02
12/18/1990,77.85
12/18/1990,82.71
12/18/1990,65.81
12/25/1990,82.38
12/25/1990,81.15
12/25/1990,65.95
01/01/1991,81.72
01/01/1991,80.44
01/01/1991,64.0
01/08/1991,76.75
01/08/1991,93.08
01/08/1991,68.24
01/15/1991,66.04
01/15/1991,84.08
01/15/1991,68.47
01/22/1991,68.65
01/22/1991,86.19
01/22/1991,66.75
01/29/1991,68.88
01/29/1991,90.03
01/29/1991,64.56
02/05/1991,69.33
02/05/1991,88.48
02/05/1991,67.05
02/12/1991,68.02
02/12/1991,87.99
02/12/1991,68.08
02/19/1991,70.1
02/19/1991,89.94
02/19/1991,67.04
02/26/1991,69.92
02/26/1991,94.42
02/26/1991,67.34
03/05/1991,67.33
03/05/1991,95.27
03/05/1991,67.02
03/12/1991,69.9
03/12/1991,93.32
03/12/1991,55.07
03/19/1991,65.65
03/19/1991,102.65
03/19/1991,67.27
03/26/1991,58.83
03/26/1991,92.67
03/26/1991,62.57
04/02/1991,63.26
04/02/1991,106.88
04/02/1991,69.97
04/09/1991,60.67
04/09/1991,102.19
04/09/1991,65.55
04/16/1991,65.88
04/16/1991,92.27
04/16/1991,67.33
04/23/1991,62.46
04/23/1991,81.23
04/23/1991,68.61
04/30/1991,66.94
04/30/1991,73.62
04/30/1991,65.44
05/07/1991,67.31
05/07/1991,72.35
05/07/1991,62.16
05/14/1991,66.7
05/14/1991,70.05
05/14/1991,63.18
05/21/1991,67.18
05/21/1991,84.16
05/21/1991,67.35
05/28/1991,70.29
05/28/1991,97.64
05/28/1991,64.24
06/04/1991,73.68
06/04/1991,95.17
06/04/1991,66.39
06/11/1991,78.66
06/11/1991,93.86
06/11/1991,69.36
06/18/1991,79.26
06/18/1991,87.98
06/18/1991,64.64
06/25/1991,81.26
06/25/1991,90.01
06/25/1991,64.24
07/02/1991,75.9
07/02/1991,84.89
07/02/1991,69.49
07/09/1991,78.0
07/09/1991,101.54
07/09/1991,77.31
07/16/1991,70.76
07/16/1991,104.61
07/16/1991,76.59
07/23/1991,77.7
07/23/1991,100.77
07/23/1991,75.83
07/30/1991,77.96
07/30/1991,102.96
07/30/1991,78.73
08/06/1991,72.34
08/06/1991,105.66
08/06/1991,79.53
08/13/1991,72.61
08/13/1991,100.96
08/13/1991,76.47
08/20/1991,71.5
08/20/1991,102.67
08/20/1991,69.86
08/27/1991,63.88
08/27/1991,100.51
08/27/1991,77.93
09/03/1991,64.64
09/03/1991,97.96
09/03/1991,77.58
09/10/1991,71.81
09/10/1991,98.3
09/10/1991,75.32
09/17/1991,70.28
09/17/1991,100.93
09/17/1991,75.48
09/24/1991,65.95
09/24/1991,101.54
09/24/1991,76.41
10/01/1991,66.9
10/01/1991,104.57
10/01/1991,72.56
10/08/1991,71.81
10/08/1991,102.7
10/08/1991,71.89
10/15/1991,74.83
10/15/1991,100.4
10/15/1991,72.07
10/22/1991,72.67
10/22/1991,86.86
10/22/1991,69.81
10/29/1991,73.87
10/29/1991,90.66
10/29/1991,75.25
11/05/1991,67.75
11/05/1991,89.04
11/05/1991,72.49
11/12/1991,72.1
11/12/1991,97.4
11/12/1991,71.2
11/19/1991,72.1
11/19/1991,97.9
11/19/1991,70.6
11/26/1991,75.1
11/26/1991,99.3
11/26/1991,69.5
12/03/1991,75.4
12/03/1991,99.2
12/03/1991,70.9
12/10/1991,74.3
12/10/1991,97.5
12/10/1991,71.1
12/17/1991,74.1
12/17/1991,100.4
12/17/1991,68.1
12/24/1991,68.7
12/24/1991,97.0
12/24/1991,67.2
12/31/1991,72.6
12/31/1991,93.1
12/31/1991,67.5
01/07/1992,75.2
01/07/1992,93.6
01/07/1992,67.5
01/14/1992,73.8
01/14/1992,95.7
01/14/1992,76.5
01/21/1992,70.9
01/21/1992,96.9
01/21/1992,75.3
01/28/1992,70.3
01/28/1992,95.1
01/28/1992,76.8
02/04/1992,69.4
02/04/1992,95.9
02/04/1992,76.2
02/11/1992,74.5
02/11/1992,94.4
02/11/1992,75.6
02/18/1992,71.8
02/18/1992,94.1
02/18/1992,77.1
